Position,Evaluation
5k2/pp5p/5p2/1P2p1R1/P3P3/2P2P2/2r3PP/R5K1 w - - 0 32,624
5k2/pp5p/5p2/1P2p2R/P3P3/2P2P2/2r3PP/R5K1 b - - 1 32,633
8/pp4kp/5p2/1P2p2R/P3P3/2P2P2/2r3PP/R5K1 w - - 2 33,648
8/pp4kp/5p2/1P2p2R/P3P3/2P2P2/2r3PP/3R2K1 b - - 3 33,641
8/pp5p/5pk1/1P2p2R/P3P3/2P2P2/2r3PP/3R2K1 w - - 4 34,661
8/pp5p/5pk1/1P2p3/P3P3/2P2P1R/2r3PP/3R2K1 b - - 5 34,639
8/pp5p/5pk1/1P2p3/P3P3/2r2P1R/6PP/3R2K1 w - - 0 35,642
8/pp1R3p/5pk1/1P2p3/P3P3/2r2P1R/6PP/6K1 b - - 1 35,660
8/pp1R3p/5pk1/1P2p3/P3P3/5P1R/6PP/2r3K1 w - - 2 36,750
8/pp1R3p/5pk1/1P2p3/P3P3/5P1R/5KPP/2r5 b - - 3 36,765
8/pp1R3p/5pk1/1P2p3/P3P3/5P1R/2r2KPP/8 w - - 4 37,847
8/pp1R3p/5pk1/1P2p3/P3P3/5PKR/2r3PP/8 b - - 5 37,880
8/pp1R4/5pk1/1P2p2p/P3P3/5PKR/2r3PP/8 w - - 0 38,913
8/pR6/5pk1/1P2p2p/P3P3/5PKR/2r3PP/8 b - - 0 38,909
8/pR6/5p2/1P2p1kp/P3P3/5PKR/2r3PP/8 w - - 1 39,Mate in <bound method Mate.mate of Mate(+7)>
8/R7/5p2/1P2p1kp/P3P3/5PKR/2r3PP/8 b - - 0 39,899
8/R7/5p2/1P2p1k1/P3P2p/5PKR/2r3PP/8 w - - 0 40,1242
8/R7/5p2/1P2p1k1/P3P2R/5PK1/2r3PP/8 b - - 0 40,1228
8/R7/5p2/1P2p1k1/P3P2R/5PK1/6rP/8 w - - 0 41,Mate in <bound method Mate.mate of Mate(+16)>
8/R7/5p2/1P2p1k1/P3P2R/5P2/6KP/8 b - - 0 41,Mate in <bound method Mate.mate of Mate(-7)>
8/R7/5p2/1P2p3/P3P2k/5P2/6KP/8 w - - 0 42,Mate in <bound method Mate.mate of Mate(+7)>
8/R7/1P3p2/4p3/P3P2k/5P2/6KP/8 b - - 0 42,1436
8/R7/1P3p2/4p1k1/P3P3/5P2/6KP/8 w - - 1 43,1866
8/RP6/5p2/4p1k1/P3P3/5P2/6KP/8 b - - 0 43,1531
8/RP6/8/4ppk1/P3P3/5P2/6KP/8 w - - 0 44,Mate in <bound method Mate.mate of Mate(+4)>
8/RP6/8/4pPk1/P7/5P2/6KP/8 b - - 0 44,1449
8/RP6/8/4pk2/P7/5P2/6KP/8 w - - 0 45,Mate in <bound method Mate.mate of Mate(+6)>
1Q6/R7/8/4pk2/P7/5P2/6KP/8 b - - 0 45,Mate in <bound method Mate.mate of Mate(-4)>
1Q6/R7/8/5k2/P3p3/5P2/6KP/8 w - - 0 46,Mate in <bound method Mate.mate of Mate(+3)>
1Q6/5R2/8/5k2/P3p3/5P2/6KP/8 b - - 1 46,Mate in <bound method Mate.mate of Mate(-6)>
1Q6/5R2/8/6k1/P3p3/5P2/6KP/8 w - - 2 47,Mate in <bound method Mate.mate of Mate(+2)>
6Q1/5R2/8/6k1/P3p3/5P2/6KP/8 b - - 3 47,Mate in <bound method Mate.mate of Mate(-1)>
6Q1/5R2/7k/8/P3p3/5P2/6KP/8 w - - 4 48,Mate in <bound method Mate.mate of Mate(+1)>
6Q1/7R/7k/8/P3p3/5P2/6KP/8 b - - 5 48,Mate in <bound method Mate.mate of Mate(-0)>
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,22
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,35
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,41
rnb1kbnr/pp1ppppp/8/q1p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,74
rnb1kbnr/pp1ppppp/8/q1p5/4P3/P4N2/1PPP1PPP/RNBQKB1R b KQkq - 0 3,40
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,36
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,27
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,-47
rnbqkbnr/ppp1pppp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,-44
rnbqkbnr/ppp1pppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-37
rnbqkb1r/ppp1pppp/5n2/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4,-33
rnbqkb1r/ppp1pppp/5n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 4,-63
rnbqkb1r/ppp1pppp/5n2/8/3P4/2N2p2/PPP3PP/R1BQKBNR w KQkq - 0 5,-51
rnbqkb1r/ppp1pppp/5n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R b KQkq - 0 5,-58
r1bqkb1r/ppp1pppp/2n2n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq - 1 6,-49
r1bqkb1r/ppp1pppp/2n2n2/1B6/3P4/2N2N2/PPP3PP/R1BQK2R b KQkq - 2 6,-28
r1bqkb1r/1pp1pppp/p1n2n2/1B6/3P4/2N2N2/PPP3PP/R1BQK2R w KQkq - 0 7,39
r1bqkb1r/1pp1pppp/p1n2n2/8/3P4/2NB1N2/PPP3PP/R1BQK2R b KQkq - 1 7,-143
r2qkb1r/1pp1pppp/p1n2n2/8/3P2b1/2NB1N2/PPP3PP/R1BQK2R w KQkq - 2 8,-138
r2qkb1r/1pp1pppp/p1n2n2/8/3P2b1/2NB1N2/PPP3PP/R1BQ1RK1 b kq - 3 8,-217
r2qkb1r/1pp1pppp/p4n2/8/3n2b1/2NB1N2/PPP3PP/R1BQ1RK1 w kq - 0 9,-215
r2qkb1r/1pp1pppp/p4n2/8/3n2b1/2N2N2/PPP1B1PP/R1BQ1RK1 b kq - 1 9,-329
r2qkb1r/1pp1pppp/p4n2/8/6b1/2N2N2/PPP1n1PP/R1BQ1RK1 w kq - 0 10,-223
r2qkb1r/1pp1pppp/p4n2/8/6b1/2N2N2/PPP1Q1PP/R1B2RK1 b kq - 0 10,-205
r2qkb1r/1pp1pppp/p4n2/8/8/2N2b2/PPP1Q1PP/R1B2RK1 w kq - 0 11,-112
r2qkb1r/1pp1pppp/p4n2/8/8/2N2Q2/PPP3PP/R1B2RK1 b kq - 0 11,-100
r3kb1r/1pp1pppp/p4n2/8/3q4/2N2Q2/PPP3PP/R1B2RK1 w kq - 1 12,-153
r3kb1r/1pp1pppp/p4n2/8/3q4/2N1BQ2/PPP3PP/R4RK1 b kq - 2 12,-169
r3kb1r/1pp1pppp/p4n2/8/6q1/2N1BQ2/PPP3PP/R4RK1 w kq - 3 13,295
r3kb1r/1Qp1pppp/p4n2/8/6q1/2N1B3/PPP3PP/R4RK1 b kq - 0 13,372
3rkb1r/1Qp1pppp/p4n2/8/6q1/2N1B3/PPP3PP/R4RK1 w k - 1 14,387
3rkb1r/2p1pppp/p1Q2n2/8/6q1/2N1B3/PPP3PP/R4RK1 b k - 2 14,124
3rkb1r/2pnpppp/p1Q5/8/6q1/2N1B3/PPP3PP/R4RK1 w k - 3 15,545
3rkb1r/2pnpppp/p1Q5/3N4/6q1/4B3/PPP3PP/R4RK1 b k - 4 15,540
3rkb1r/2pn1ppp/p1Q1p3/3N4/6q1/4B3/PPP3PP/R4RK1 w k - 0 16,567
3rkb1r/2Nn1ppp/p1Q1p3/8/6q1/4B3/PPP3PP/R4RK1 b k - 0 16,667
3r1b1r/2Nnkppp/p1Q1p3/8/6q1/4B3/PPP3PP/R4RK1 w - - 1 17,706
3r1b1r/2Nnkppp/p1Q1p3/8/6q1/8/PPPB2PP/R4RK1 b - - 2 17,434
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,34
r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,54
r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,60
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,59
r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,61
r1bqkbnr/ppppnppp/8/3Pp3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,50
r1bqkbnr/ppppnppp/8/3Pp3/4P3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,28
r1bqkbnr/pppp1ppp/6n1/3Pp3/4P3/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,27
r1bqkbnr/pppp1ppp/6n1/3Pp3/1P2P3/2P5/P4PPP/RNBQKBNR b KQkq - 0 5,-61
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,39
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,52
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,18
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,11
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,7
r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,124
r1bqkbnr/pppp1ppp/8/4p3/2BnP3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,40
r1bqkbnr/pppp1ppp/8/4p3/2B1P3/3P1n2/PPP2PPP/RNBQK2R w KQkq - 0 5,50
r1bqkbnr/pppp1ppp/8/4p3/2B1P3/3P1Q2/PPP2PPP/RNB1K2R b KQkq - 0 5,52
r1bqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P1Q2/PPP2PPP/RNB1K2R w KQkq - 1 6,55
r1bqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P1Q1P/PPP2PP1/RNB1K2R b KQkq - 0 6,30
r1bqk2r/pppp1ppp/5n2/2b1p3/2B1P3/3P1Q1P/PPP2PP1/RNB1K2R w KQkq - 1 7,39
r1bqk2r/pppp1ppp/5n2/2b1p3/2B1P3/P2P1Q1P/1PP2PP1/RNB1K2R b KQkq - 0 7,3
r1bq1rk1/pppp1ppp/5n2/2b1p3/2B1P3/P2P1Q1P/1PP2PP1/RNB1K2R w KQ - 1 8,16
r1bq1rk1/pppp1ppp/5n2/2b1p3/2B1P3/P2PBQ1P/1PP2PP1/RN2K2R b KQ - 2 8,8
r1bq1rk1/pppp1ppp/5n2/4p3/2B1P3/P2PbQ1P/1PP2PP1/RN2K2R w KQ - 0 9,-2
r1bq1rk1/pppp1ppp/5n2/4p3/2B1P3/P2PQ2P/1PP2PP1/RN2K2R b KQ - 0 9,0
r1bqr1k1/pppp1ppp/5n2/4p3/2B1P3/P2PQ2P/1PP2PP1/RN2K2R w KQ - 1 10,-5
r1bqr1k1/pppp1ppp/5n2/4p3/2B1P3/P2P1Q1P/1PP2PP1/RN2K2R b KQ - 2 10,-17
r1bqr1k1/pp1p1ppp/2p2n2/4p3/2B1P3/P2P1Q1P/1PP2PP1/RN2K2R w KQ - 0 11,-18
r1bqr1k1/pp1p1ppp/2p2n2/4p3/2B1P3/P1NP1Q1P/1PP2PP1/R3K2R b KQ - 1 11,-23
r1bqr1k1/p2p1ppp/2p2n2/1p2p3/2B1P3/P1NP1Q1P/1PP2PP1/R3K2R w KQ - 0 12,-18
r1bqr1k1/p2p1ppp/2p2n2/1p2p3/4P3/PBNP1Q1P/1PP2PP1/R3K2R b KQ - 1 12,-17
r1b1r1k1/p2p1ppp/2p2n2/qp2p3/4P3/PBNP1Q1P/1PP2PP1/R3K2R w KQ - 2 13,42
r1b1r1k1/p2p1ppp/2p2n2/qp2p3/4P3/PBNP1Q1P/1PP2PP1/R4RK1 b - - 3 13,19
r3r1k1/pb1p1ppp/2p2n2/qp2p3/4P3/PBNP1Q1P/1PP2PP1/R4RK1 w - - 4 14,60
r3r1k1/pb1p1ppp/2p2n2/qp2p3/4P3/PB1P1Q1P/1PP1NPP1/R4RK1 b - - 5 14,15
r3r1k1/pb1p1ppp/5n2/qpp1p3/4P3/PB1P1Q1P/1PP1NPP1/R4RK1 w - - 0 15,64
r3r1k1/pb1p1ppp/5n2/qpp1p3/4P3/PB1P1Q1P/1PP1NPP1/R2R2K1 b - - 1 15,-3
r3r1k1/pb3ppp/3p1n2/qpp1p3/4P3/PB1P1Q1P/1PP1NPP1/R2R2K1 w - - 0 16,34
r3r1k1/pb3ppp/3p1n2/qpp1p3/2P1P3/PB1P1Q1P/1P2NPP1/R2R2K1 b - - 0 16,-4
r3r1k1/pb3ppp/3p1n2/q1p1p3/2p1P3/PB1P1Q1P/1P2NPP1/R2R2K1 w - - 0 17,54
r3r1k1/pb3ppp/3p1n2/q1p1p3/2P1P3/PB3Q1P/1P2NPP1/R2R2K1 b - - 0 17,-97
2r1r1k1/pb3ppp/3p1n2/q1p1p3/2P1P3/PB3Q1P/1P2NPP1/R2R2K1 w - - 1 18,90
2r1r1k1/pb3ppp/3p1n2/q1pRp3/2P1P3/PB3Q1P/1P2NPP1/R5K1 b - - 2 18,-286
2r1r1k1/p4ppp/3p1n2/q1pbp3/2P1P3/PB3Q1P/1P2NPP1/R5K1 w - - 0 19,-286
2r1r1k1/p4ppp/3p1n2/q1pPp3/2P5/PB3Q1P/1P2NPP1/R5K1 b - - 0 19,-284
2r1r1k1/p4ppp/1q1p1n2/2pPp3/2P5/PB3Q1P/1P2NPP1/R5K1 w - - 1 20,-189
2r1r1k1/p4ppp/1q1p1n2/2pPp3/2P5/PB3Q1P/1P3PP1/R1N3K1 b - - 2 20,-273
2r1r1k1/p4ppp/1q1p1n2/2pP4/2P1p3/PB3Q1P/1P3PP1/R1N3K1 w - - 0 21,-267
2r1r1k1/p4ppp/1q1p1n2/2pP4/2P1pQ2/PB5P/1P3PP1/R1N3K1 b - - 1 21,-337
2r1r1k1/p4ppp/1q1p4/2pP3n/2P1pQ2/PB5P/1P3PP1/R1N3K1 w - - 2 22,-275
2r1r1k1/p4ppp/1q1p4/2pP3n/2P1p1Q1/PB5P/1P3PP1/R1N3K1 b - - 3 22,-311
2r1r1k1/p4ppp/1q1p1n2/2pP4/2P1p1Q1/PB5P/1P3PP1/R1N3K1 w - - 4 23,-293
2r1r1k1/p4ppp/1q1p1n2/2pP4/2P1pQ2/PB5P/1P3PP1/R1N3K1 b - - 5 23,-378
2r1r1k1/p4ppp/3p1n2/q1pP4/2P1pQ2/PB5P/1P3PP1/R1N3K1 w - - 6 24,-295
2r1r1k1/p4ppp/3p1n2/q1pP4/2P1pQ2/P6P/1PB2PP1/R1N3K1 b - - 7 24,-402
2r1r1k1/p4ppp/3p1n2/2pP4/2P1pQ2/P6P/1PB2PP1/R1N1q1K1 w - - 8 25,-398
2r1r1k1/p4ppp/3p1n2/2pP4/2P1pQ2/P6P/1PB2PPK/R1N1q3 b - - 9 25,-418
2r1r1k1/p4ppp/3p4/2pP3n/2P1pQ2/P6P/1PB2PPK/R1N1q3 w - - 10 26,-260
2r1r1k1/p4ppp/3Q4/2pP3n/2P1p3/P6P/1PB2PPK/R1N1q3 b - - 0 26,-567
2r1r1k1/p4ppp/3Q4/2pP3n/2P1p3/P6P/1PB2qPK/R1N5 w - - 0 27,-581
2r1r1k1/p4ppp/3Q4/2pP3n/2P1B3/P6P/1P3qPK/R1N5 b - - 0 27,-581
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P6P/1P3qPK/R1N5 w - - 0 28,-601
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2N3P/1P3qPK/R7 b - - 1 28,-597
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2N2qP/1P4PK/R7 w - - 2 29,-461
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2N2qP/1P4P1/R5K1 b - - 3 29,-891
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2q3P/1P4P1/R5K1 w - - 0 30,-657
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2q3P/1P4P1/5RK1 b - - 1 30,-814
4r1k1/p4ppp/3Q4/2pP3n/2P1r3/P2q3P/1P4P1/5RK1 w - - 2 31,-745
4r1k1/p2Q1ppp/8/2pP3n/2P1r3/P2q3P/1P4P1/5RK1 b - - 3 31,-872
4r1k1/p2Q1ppp/8/2pP3n/2P1r3/P3q2P/1P4P1/5RK1 w - - 4 32,-830
4r1k1/p2Q1ppp/8/2pP3n/2P1r3/P3q2P/1P4P1/5R1K b - - 5 32,Mate in <bound method Mate.mate of Mate(+7)>
4r1k1/p2Q1ppp/8/2pP4/2P1r3/P3q1nP/1P4P1/5R1K w - - 6 33,Mate in <bound method Mate.mate of Mate(-6)>
4r1k1/p2Q1ppp/8/2pP4/2P1r3/P3q1nP/1P4PK/5R2 b - - 7 33,Mate in <bound method Mate.mate of Mate(+6)>
4r1k1/p2Q1ppp/8/2pP4/2P1r3/P3q2P/1P4PK/5n2 w - - 0 34,Mate in <bound method Mate.mate of Mate(-5)>
