NumOpeningMoves,NumMovesRepeatedPieceMovement,EarlyQueenMovesPenalty,EarlyOverextendingPenalty,EarlyKnighBishopDevelopmentBonus,RepeatedPieceMovePenalty,KnightOnEdgePenalty,RepeatedPositionPenalty,AverageCentipawnLoss
11,56,0.30542995088369707,0.26588672387006196,0.4458384493259664,1.831333258482178,1.8814884940704766,0.5192993781854807,292.2985074626866
29,7,0.22153145778059113,0.7630417035268862,1.4516924258581585,1.3974990109736583,1.344623985041627,1.0207938383069421,217.2941176470588
9,19,0.3850775088504039,1.4200632878200585,1.1165574878709783,1.3967635829752754,0.7492654306755464,0.35587157279362325,200.9879518072289
13,22,1.2924264723665428,0.20727149475267193,1.2001872125146777,1.135040914789246,1.7765561082951722,1.9285980763879988,279.34177215189874
66,71,0.5998903670627735,1.9018912021693337,0.9154665579504628,0.28985303584843347,1.991179490998316,1.9100048371778449,263.56164383561645
78,70,0.4736354787548911,0.45374628276058937,0.09807474664332916,1.431322127859293,0.781739759357547,1.5650158364266684,309.7040816326531
15,10,0.686113290951019,1.1792416870669684,1.9027578916625412,0.8438076360743052,0.148421749132855,0.09295138047972729,233.15853658536585
3,97,1.2911635319107366,1.533474922060598,0.9926113359852555,1.0497106005588255,1.0041582437130565,1.5259410268320182,367.3069306930693
23,63,0.7486999436243846,0.603848040809366,1.0229213134813955,0.08338514009736442,1.843901380376618,0.25480901990220195,598.3013698630137
45,53,0.1260144452081342,0.6606318983982045,0.22029424122070718,0.9153113209979324,1.6304493189393416,0.8882435465529526,560.3780487804878
64,18,0.236612628329554,0.42822812222663353,1.2907204741739229,1.8812742721360478,1.5890183907081326,1.3432865373090572,585.5
0,32,1.5627045067663208,0.9303172343078874,1.786779028038514,1.6155254328889967,1.3725104183724195,1.3670146704564197,553.3977272727273
83,40,0.4223577744485696,0.24957846491724678,1.2166436236447824,0.30197541639331726,0.5392112302419563,0.3772995207638432,736.2375
17,69,0.9809832230709923,1.99168037242459,0.42108578041980427,1.2064689751573807,0.4158506024153774,1.0350779318358756,576.5208333333334
19,2,0.791969856131246,0.9415681234205882,0.629604199640523,1.3147659809525034,1.873557661410306,1.8132091256062393,651.6938775510204
38,27,0.3456819211777229,0.9237759597443802,0.9655504728900208,0.49211286061325077,0.24651223240021425,1.140847428976332,723.8484848484849
10,67,0.868368418686887,1.5732831254954867,1.9714140993554707,1.5377224091959067,1.8083316988859124,1.3758415419878336,654.969696969697
19,55,1.519676277183722,1.7325433266873855,0.9947380009216411,1.794138971421206,0.9140318682180839,0.8214827793157282,742.6140350877193
99,72,0.6640050121930099,0.1327833826241256,0.6264226851592667,1.1964666953190566,0.8354117625239412,0.024351365512280454,640.1224489795918
82,36,0.07868822429664712,0.08142488808794557,0.3334602289901396,1.1580221992192565,1.6122681456900883,0.9224296988173442,741.3176470588236
90,26,1.709186405993965,1.1056547719458023,1.6008725698461592,1.5794758502239445,0.45568845016603343,1.8617532381713993,813.1650485436893
57,13,1.4725591081299798,1.5818463508711664,0.6906379551128696,0.6257371569528123,1.978927464994272,0.13052377485919764,685.021052631579
95,35,1.4700032165405363,0.9274104237960583,0.19641533593873883,0.33192023323670994,0.14543612161042496,1.6656351481191345,562.0980392156863
18,74,1.5126459912764465,0.7451633513221789,1.9502673515363758,1.2774595964441748,0.21678266844525385,1.214146651576668,718.7125
1,3,0.6588105421539543,0.15158088819501048,1.3687889204828139,0.05455429363289088,0.4132897372322637,1.9864089201537272,686.2117647058824
83,72,1.4394306390833174,0.3507762969207966,1.330081023052601,1.4739321470518711,0.8683506055296726,1.283436347847857,687.2156862745098
27,80,1.7653572926151009,0.2418523679431155,1.538827003698885,1.1375895622451018,1.969681976826753,1.0162283515279382,598.8607594936709
86,52,1.1737202250007868,0.18563246346343854,0.9586320551645369,1.6837338602040144,0.9618781205833029,0.1195194153670256,840.031914893617
97,82,0.8121881484244393,1.6236766457781215,1.0456998098065795,1.076874381678516,1.3056268556661847,1.1938615579019916,594.7524752475248
1,38,0.49299830119496546,1.195707449025805,1.0329987670778187,0.8881490763706275,1.8539840010371011,1.0914967854688369,523.0574712643678
15,51,0.08891866834548257,0.27179120150920366,1.308934307351588,1.1113159367600882,0.3240886053838268,0.17044919541985792,587.0571428571428
46,12,0.9207957489979424,0.5409082796444944,1.5524263929892073,1.1654575278355113,1.691485132650668,1.7950054907912796,795.8981481481482
29,11,0.09261372592548223,1.9720462123612992,0.5734446613146416,1.6858313688234206,1.1729481423468147,1.8740482328889414,800.05
2,19,0.36732986855682626,0.017781569131957164,0.3789865867444684,1.322966402223025,1.289165877039559,0.7561667335627769,802.1846153846154
34,10,1.6713818738699395,0.18454645734526487,1.291295630666128,1.5746892029433635,0.8671393321850795,0.4107359884670987,702.1515151515151
15,41,1.155349436284544,1.213251052297702,1.9844350601671201,0.7927838921830592,1.6516227645032617,0.7858828985025692,708.2743362831858
32,79,1.0948808531848957,1.754860175509409,0.026018634290444265,0.7882699605046986,1.2853823841929117,0.8172686592868306,644.2528735632184
62,94,0.7796455224294057,1.4775704606505213,1.3873990085372496,1.998711112489429,0.24158267970101632,0.7027447204988715,776.9285714285714
84,46,0.20963810435598096,1.1819005276920898,0.5296801670895814,0.19028486866553762,0.3908615495001393,0.0634590429622719,934.8148148148148
4,30,0.23460659898822445,1.7458976992651185,0.7483590686344495,0.6660270843440055,0.7761447752801851,0.01912136151116517,758.7297297297297
20,52,1.3359626125124606,0.10919125328607304,1.6283189686036077,0.34585152551531917,1.6693061675934895,0.7800290131361354,684.6145833333334
46,96,1.496826519553291,0.9502559751227915,0.8510378131214651,1.8766905346932496,1.724529882839096,1.9492269828268751,617.2567567567568
41,10,1.7593980076080609,0.04928985437613287,1.2846184005623063,0.040441150527564806,0.49102649481617555,0.7919954211623335,765.5193798449612
35,85,1.7051455986763904,1.7892717850712008,1.3755130337691939,0.7589895212938149,1.324344530455033,0.7612554474090356,792.8691588785047
73,25,1.9721112842701987,1.6739382434572194,0.1191763312615004,0.9368261774565496,1.4014538758892134,0.06010336164962693,545.7142857142857
28,0,1.580539156507105,0.11606658958848048,0.2140076697464104,0.039022846628961494,0.04963405462871795,1.0485571372958717,700.5064935064935
73,63,0.32303663672665794,1.823655408814511,0.7190199221467513,0.6390124069243539,1.282443179102111,1.5136121424876925,619.6146788990826
96,56,0.8157218511705153,0.12739865996789845,1.1538595833169556,0.4447173430435942,0.5268119210127791,1.076986296081282,631.2277227722773
63,74,1.8491129166919547,1.7974823784695402,0.013981684819954987,1.4550399569626158,1.9078780418311336,0.2977781441424787,624.1160714285714
93,3,0.11429196448780221,1.3008764720117747,0.6719381219393548,1.0958682199655578,1.2088848572182858,1.8057808755259561,631.695652173913
55,18,0.07922400101603233,1.7757439627580562,0.6372027081743907,0.7838341288001733,1.0414412389014127,1.9677852068043897,594.7196261682243
25,34,0.1659914045285007,1.7983218810373163,1.2822165980822124,1.099403663093676,1.2914272682907693,1.1381101181200761,524.5151515151515
71,51,1.0862497361582506,0.7460171322527283,0.5343977337426553,1.6830714487920764,1.1173706827003087,1.2801135530804773,729.7407407407408
41,80,1.7211854901076857,0.6717865755421601,1.8162606285529557,1.4386808356109615,1.6872763283340553,0.11608075304210064,612.4329896907217
1,86,0.9898596432445812,0.8370565355532147,0.05279566020524973,0.39002052749345273,1.923449668143106,1.4542810120869392,818.9078947368421
80,88,0.2985396933800657,0.9977038200753894,0.08169934267596068,1.6105761288798552,0.10279552246532386,1.2341423562326481,795.3870967741935
29,63,0.8611181914333159,1.7641825369443698,0.0749251363495742,1.0672705241414941,1.3957629676285983,0.9966078590576883,782.8316831683169
59,38,0.4403656850313058,0.44702489636627574,0.4749045661002238,1.3845395973024628,1.349217922684018,1.5975291881355704,737.2477876106195
45,69,1.2920766519812976,0.44098727914869507,1.7453836517006176,1.9722324225012242,1.9611894543430777,0.46649466579587395,736.2962962962963
72,9,0.7335832169131937,0.6306419886449468,1.4604186907288979,1.754042378516963,0.30682073027365053,0.40733952140924834,749.9391304347826
88,93,0.6288113108810154,1.462192076273931,1.3636772145868576,1.7245821549241886,1.6905868576511955,1.4298327935000206,802.7764705882353
4,2,1.9862078210842662,0.920845171282914,0.8909214077102421,1.1234579634347068,0.8020957955566013,1.3440806055169652,628.2933333333333
18,55,1.2140528886799833,1.9005243248789205,1.6562889663428875,1.520685716581519,0.46547582978915436,1.1682516398422107,227.1685393258427
82,12,1.8839117343958,0.715418707713497,1.223373221955256,0.19620767489108326,0.7914608072558271,0.6717517755647031,229.63855421686748
5,99,1.2048786324908458,0.5256127965385256,1.913988978498779,0.7603135526586846,0.9660108193460535,0.8724688550589703,257.84444444444443
51,31,0.8228327900620165,1.1652261126191368,1.7499096379532724,1.8366329094474185,0.41045680188985467,0.01618359136793579,175.53684210526316
60,40,0.6210500817832816,1.1722285692369825,0.08458440933285916,0.5950404900481303,0.7350746911304007,1.054719325166533,220.425
95,75,0.6865299471434088,0.7357749149185902,0.5412514600541745,1.7242133985034,0.06561132883524468,1.652282631711057,227.97826086956522
94,99,1.8273966821659493,1.4497265897869767,0.6269884567972628,1.4813767729777807,1.015634200767176,0.4542028533544209,228.0142857142857
51,12,0.4005061604250486,0.24404646471810998,1.1576770597034587,1.7032854889829703,0.7760086610389019,0.9536121617345421,154.47826086956522
74,11,0.912565397228853,1.640597270326136,0.17020656596152706,0.6994719599448496,1.85569070076278,1.7270652171511496,294.7719298245614
34,44,1.7569121633566784,0.1240818446458527,1.8989155999246032,1.1567647375280865,0.6456884383202466,1.0344769888214755,381.1136363636364
45,46,0.11267369995506993,0.37271530899799266,0.987194614681091,0.4545606060982992,1.1680167794964076,0.612204834215897,218.4
55,52,0.9923532253504994,1.4699150816878934,0.40026266421397416,0.22743858356483515,0.33482416387617087,0.4135203411804649,203.13924050632912
9,74,1.4911149309679557,1.6829068990623528,0.2474813443772359,1.3069353999105964,1.0154119409442157,0.6486128235578781,184.44444444444446
63,85,0.505277296047907,1.0638073813552982,0.6629391879072493,0.594526494650734,1.4737509398221362,1.535274016887702,229.9718309859155
23,88,1.1285952681020226,0.32663570797546604,1.0583409683069402,0.4051087747586799,1.4037807508863829,1.9861715019946735,206.71698113207546
